id,matchDate,visitingTeam,homeTeam
1,2025-09-07,Vikings,Chiefs
2,2025-09-07,Raiders,Bears
3,2025-09-07,Texans,Chargers
4,2025-09-12,Commanders,Dolphins
5,2025-09-12,Bears,Steelers
6,2025-09-12,Bengals,Rams
7,2025-09-12,Jaguars,Lions
8,2025-09-17,Jaguars,Bills
9,2025-09-17,Browns,Panthers
10,2025-09-17,Steelers,Panthers
11,2025-09-17,Titans,Seahawks
12,2025-09-22,Cowboys,Bengals
13,2025-09-22,Chargers,Texans
14,2025-09-27,Chiefs,Saints
15,2025-09-27,Buccaneers,Browns
16,2025-09-27,Patriots,Seahawks
17,2025-09-27,Ravens,Raiders
18,2025-09-27,Chargers,Titans
19,2025-09-27,Dolphins,Panthers
20,2025-09-27,Cowboys,Raiders
21,2025-09-27,Patriots,Chargers
22,2025-09-27,Dolphins,Chargers
23,2025-10-02,Vikings,Eagles
24,2025-10-02,Titans,Bears
25,2025-10-07,Falcons,Bengals
