gameId,quarterback,ballCarrier,snapType,team
1,JJ McCarthy,Aaron Jones,PASSING,Vikings
1,JJ McCarthy,Will Reichard,EXTRA POINT KICK,Vikings
1,Patrick Mahomes,Travis Kelce,PASSING,Chiefs
1,Patrick Mahomes,Harrison Butker,EXTRA POINT KICK,Chiefs
1,JJ McCarthy,Justin Jefferson,PASSING,Vikings
1,JJ McCarthy,Will Reichard,EXTRA POINT KICK,Vikings
1,JJ McCarthy,Jordan Addison,RUSHING,Vikings
1,Patrick Mahomes,Isiah Pacheco,PASSING,Chiefs
1,Patrick Mahomes,Isiah Pacheco,2-POINT CONVERSION,Chiefs
1,JJ McCarthy,Will Reichard,FIELD GOAL,Vikings
2,Geno Smith,Jakobi Meyers,PASSING,Raiders
2,Geno Smith,Daniel Carlson,EXTRA POINT KICK,Raiders
2,Caleb Williams,Keenan Allen,RUSHING,Bears
2,Caleb Williams,Cairo Santos,EXTRA POINT KICK,Bears
2,Geno Smith,Davante Adams,PASSING,Raiders
2,Geno Smith,Daniel Carlson,EXTRA POINT KICK,Raiders
2,Caleb Williams,Cairo Santos,FIELD GOAL,Bears
2,Caleb Williams,Cairo Santos,FIELD GOAL,Bears
2,Caleb Williams,Cairo Santos,FIELD GOAL,Bears
2,Caleb Williams,Cairo Santos,FIELD GOAL,Bears
3,Justin Herbert,Austin Ekeler,RUSHING,Chargers
3,Justin Herbert,Cameron Dicker,EXTRA POINT KICK,Chargers
3,CJ Stroud,Nico Collins,RUSHING,Texans
3,CJ Stroud,Ka'imi Fairbairn,EXTRA POINT KICK,Texans
3,Justin Herbert,Quentin Johnston,PASSING,Chargers
3,Justin Herbert,Cameron Dicker,EXTRA POINT KICK,Chargers
3,CJ Stroud,Nico Collins,PASSING,Texans
3,CJ Stroud,Ka'imi Fairbairn,EXTRA POINT KICK,Texans
3,Justin Herbert,Quentin Johnston,RUSHING,Chargers
3,Justin Herbert,Cameron Dicker,EXTRA POINT KICK,Chargers
3,CJ Stroud,Tank Dell,RUSHING,Texans
3,CJ Stroud,Ka'imi Fairbairn,EXTRA POINT KICK,Texans
3,Justin Herbert,Quentin Johnston,RUSHING,Chargers
3,Justin Herbert,Cameron Dicker,EXTRA POINT KICK,Chargers
3,CJ Stroud,Ka'imi Fairbairn,FIELD GOAL,Texans
3,CJ Stroud,Ka'imi Fairbairn,FIELD GOAL,Texans
3,Justin Herbert,Cameron Dicker,FIELD GOAL,Chargers
3,CJ Stroud,Ka'imi Fairbairn,FIELD GOAL,Texans
4,Tua Tagovailoa,Jaylen Waddle,RUSHING,Dolphins
4,Tua Tagovailoa,Riley Patterson,EXTRA POINT KICK,Dolphins
4,Jaden Daniels,Jahan Dotson,PASSING,Commanders
4,Tua Tagovailoa,Raheem Mostert,PASSING,Dolphins
4,Tua Tagovailoa,Riley Patterson,EXTRA POINT KICK,Dolphins
4,Jaden Daniels,Jahan Dotson,RUSHING,Commanders
4,Jaden Daniels,Jake Moody,EXTRA POINT KICK,Commanders
5,Aaron Rodgers,Jaylen Warren,RUSHING,Steelers
5,Aaron Rodgers,Chris Boswell,EXTRA POINT KICK,Steelers
5,Caleb Williams,DJ Moore,RUSHING,Bears
5,Caleb Williams,Cairo Santos,EXTRA POINT KICK,Bears
5,Caleb Williams,Cairo Santos,FIELD GOAL,Bears
6,Joe Flacco,Tee Higgins,RUSHING,Bengals
6,Joe Flacco,Evan McPherson,EXTRA POINT KICK,Bengals
6,Matthew Stafford,Cooper Kupp,RUSHING,Rams
6,Matthew Stafford,Harrison Mevis,EXTRA POINT KICK,Rams
6,Matthew Stafford,Puka Nacua,PASSING,Rams
6,Matthew Stafford,Harrison Mevis,EXTRA POINT KICK,Rams
6,Joe Flacco,Joe Mixon,RUSHING,Bengals
6,Joe Flacco,Evan McPherson,EXTRA POINT KICK,Bengals
6,Matthew Stafford,Kyren Williams,PASSING,Rams
6,Matthew Stafford,Harrison Mevis,EXTRA POINT KICK,Rams
6,Joe Flacco,Tee Higgins,RUSHING,Bengals
6,Joe Flacco,Evan McPherson,EXTRA POINT KICK,Bengals
6,Joe Flacco,Ja'Marr Chase,RUSHING,Bengals
6,Joe Flacco,Evan McPherson,EXTRA POINT KICK,Bengals
6,Matthew Stafford,Harrison Mevis,FIELD GOAL,Rams
6,Joe Flacco,Evan McPherson,FIELD GOAL,Bengals
6,Matthew Stafford,Harrison Mevis,FIELD GOAL,Rams
6,Joe Flacco,Evan McPherson,FIELD GOAL,Bengals
7,Jared Goff,Jahmyr Gibbs,PASSING,Lions
7,Jared Goff,Jake Bates,EXTRA POINT KICK,Lions
7,Trevor Lawrence,Travis Etienne,PASSING,Jaguars
7,Trevor Lawrence,Cam Little,EXTRA POINT KICK,Jaguars
7,Jared Goff,Jake Bates,FIELD GOAL,Lions
8,Josh Allen,Stefon Diggs,RUSHING,Bills
8,Josh Allen,Matt Prater,EXTRA POINT KICK,Bills
8,Josh Allen,James Cook,RUSHING,Bills
8,Josh Allen,Matt Prater,EXTRA POINT KICK,Bills
8,Trevor Lawrence,Brian Thomas Jr.,PASSING,Jaguars
8,Trevor Lawrence,Brian Thomas Jr.,2-POINT CONVERSION,Jaguars
8,Trevor Lawrence,Brian Thomas Jr.,PASSING,Jaguars
8,Trevor Lawrence,Cam Little,EXTRA POINT KICK,Jaguars
8,Trevor Lawrence,Cam Little,FIELD GOAL,Jaguars
